Year,Publication,Citation,Open,Cum_Publications,Cum_Citations
2015,1,1,yes,1,1
2016,1,7,yes,2,8
2017,2,27,yes,4,35
2018,1,44,yes,5,79
2019,5,71,both,10,150
2020,4,116,no,14,266
2021,5,100,no,19,366
